mean_global_dens	mean_local_dens	std_local_dens	mean_local_flowx	std_local_flowx	mean_local_vx	std_local_vx
0.5	0.591	0.293	0.601	0.285	1.0	0.0
0.75	0.827	0.325	0.855	0.291	1.0	0.0
1.0	1.029	0.275	1.029	0.275	1.0	0.0
1.25	1.3	0.209	1.3	0.209	1.0	0.001
1.5	1.56	0.306	1.558	0.306	0.999	0.002
1.75	1.785	0.284	1.786	0.284	1.0	0.002
2.0	2.047	0.228	2.048	0.228	1.001	0.001
2.25	2.288	0.186	2.291	0.185	1.001	0.006
2.5	2.532	0.246	2.534	0.246	1.0	0.001
2.75	2.682	0.32	2.681	0.32	1.0	0.003
3.0	3.069	0.372	3.071	0.372	1.001	0.002
3.25	3.215	0.329	3.216	0.33	1.0	0.004
3.5	3.471	0.286	3.476	0.286	1.001	0.006
3.75	3.772	0.185	3.773	0.184	1.0	0.005
4.0	3.996	0.228	3.994	0.227	1.0	0.003
4.25	4.236	0.285	4.182	0.299	0.987	0.022
4.5	4.469	0.365	3.261	0.322	0.731	0.056
4.75	4.783	0.307	2.387	0.174	0.499	0.024
5.0	5.031	0.366	2.012	0.157	0.4	0.01
5.25	5.306	0.332	1.819	0.129	0.343	0.011
5.5	5.55	0.348	1.71	0.111	0.308	0.007
5.75	5.828	0.328	1.613	0.101	0.277	0.007
6.0	6.009	0.338	1.551	0.097	0.258	0.005
6.25	6.275	0.367	1.486	0.091	0.237	0.003
6.5	6.526	0.321	1.467	0.08	0.225	0.005
6.75	6.806	0.362	1.432	0.084	0.211	0.005
7.0	7.026	0.418	1.432	0.087	0.204	0.004
7.25	7.274	0.343	1.358	0.113	0.187	0.013
7.5	7.546	0.366	1.373	0.104	0.182	0.01
7.75	7.829	0.387	1.328	0.24	0.17	0.031
8.0	8.097	0.365	1.157	0.358	0.143	0.044
8.25	8.336	0.385	0.981	0.537	0.118	0.065
8.5	8.508	0.353	0.793	0.523	0.093	0.061
8.75	8.73	0.406	0.416	0.49	0.048	0.056
9.0	8.501	0.524	0.043	0.371	0.005	0.045
