ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3684
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
108 3.21998 17.1188 0.502089 -0.0215833 0.46 
109 20.4976 12.0324 0.563214 0.00214297 0.46 
110 4.83553 11.4575 0.541371 0.0166879 0.46 
111 23.2102 8.42354 0.545607 0.0213886 0.46 
112 1.28685 10.3272 0.548462 0.0170009 0.46 
113 19.1542 2.15479 0.454931 0.0219332 0.46 
114 23.2511 14.9486 0.572101 0.0398988 0.46 
115 2.18452 16.6399 0.498816 4.66341e-05 0.46 
116 14.8525 10.6742 0.542751 -0.0102312 0.46 
117 25.3889 9.8105 0.56418 0.0156372 0.46 
118 6.59681 8.90936 0.545445 0.00721982 0.46 
119 13.5502 2.994 0.520401 0.0379513 0.46 
120 26.2789 12.015 0.556306 0.0286898 0.46 
121 0.909871 0.184584 0.239625 -0.00296671 0.46 
122 5.98526 12.1265 0.536127 0.017114 0.46 
123 17.966 20.6832 0.373858 -0.000858719 0.46 
124 11.155 15.5 0.524146 0.00722192 0.46 
125 0.03096 0.199525 0.241069 -0.00403828 0.46 
126 7.97263 15.3784 0.51439 0.0142111 0.46 
127 3.94321 17.3105 0.505767 -0.0221681 0.46 
128 7.1393 5.92131 0.519205 -0.021642 0.46 
129 10.0649 0.216009 0.134625 0.0073504 0.46 
130 15.0908 2.77825 0.517339 0.00748015 0.46 
131 9.2568 16.2548 0.515344 -0.00330451 0.46 
132 16.5176 12.9957 0.538993 -0.02515 0.46 
133 17.6928 11.9506 0.548963 -0.0181236 0.46 
134 22.0934 8.64135 0.550241 0.0181152 0.46 
135 5.77319 16.0749 0.512822 0.0184118 0.46 
136 22.2452 17.945 0.492801 -0.0124668 0.46 
137 6.58019 6.53596 0.519071 -0.0130395 0.46 
138 19.3715 11.3917 0.557981 -0.00188826 0.46 
139 17.2554 1.68292 0.383502 -0.0283646 0.46 
140 20.1414 16.3079 0.541592 -0.0188447 0.46 
