ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3689
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
108 8.31963 16.9981 0.749926 0.00842429 0.46 
109 27.3721 11.469 0.793577 0.00490824 0.46 
110 11.8501 11.6473 0.786246 0.000484927 0.46 
111 2.60299 8.07836 0.787617 0.0422363 0.46 
112 8.23806 10.6228 0.791206 0.0149025 0.46 
113 19.3153 1.3893 0.409789 -0.00681075 0.46 
114 2.11527 14.973 0.772372 0.0317264 0.46 
115 7.65367 16.6419 0.780938 -0.00293419 0.46 
116 21.8642 10.5913 0.791975 -0.000978817 0.46 
117 4.07784 10.0537 0.796153 0.028146 0.46 
118 13.6221 9.03089 0.776176 0.00347024 0.46 
119 17.8244 3.54041 0.653692 -0.020904 0.46 
120 4.88846 12.2981 0.790437 0.0235515 0.46 
121 26.4199 0.156864 0.106106 -0.000878284 0.46 
122 12.8356 12.1588 0.783201 -0.00555208 0.46 
123 17.0547 20.6465 0.394755 -0.0135441 0.46 
124 16.7603 15.8196 0.77117 -0.0201768 0.46 
125 25.4793 0.170835 0.0842161 -0.00231759 0.46 
126 13.6076 16.0415 0.758047 0.00289336 0.46 
127 8.66403 17.2118 0.745913 0.00219268 0.46 
128 13.2587 6.14176 0.755504 0.00309886 0.46 
129 7.51888 0.150988 0.0720599 0.0270353 0.46 
130 18.7947 2.78171 0.543152 -0.0501792 0.46 
131 14.642 16.3439 0.765142 -0.0210664 0.46 
132 23.4194 13.1882 0.790075 -0.00109769 0.46 
133 25.0227 11.9079 0.798645 0.00413031 0.46 
134 1.41484 8.37777 0.791965 0.0222646 0.46 
135 11.5994 16.0913 0.788808 0.0396534 0.46 
136 25.851 17.85 0.711358 0.0160129 0.46 
137 13.6809 6.76968 0.773682 0.000634033 0.46 
138 26.2023 11.2657 0.790033 0.00602645 0.46 
139 14.9505 1.01635 0.324584 0.0185403 0.46 
140 26.4833 15.9698 0.778895 0.0105968 0.46 
141 24.4814 10.0311 0.789615 0.00129122 0.46 
142 10.2358 9.93929 0.787176 0.00412215 0.46 
143 24.619 18.6151 0.665836 0.0125042 0.46 
144 9.92442 15.5639 0.782085 0.0207674 0.46 
145 3.98211 21.8374 0.0616151 -0.00800735 0.46 
146 18.5306 17.9795 0.657507 -0.00430963 0.46 
147 6.20673 10.5163 0.794869 0.0255393 0.46 
148 14.9759 14.7479 0.771561 -0.016236 0.46 
149 17.0254 2.8913 0.601932 0.00352279 0.46 
150 27.6884 7.43491 0.766312 0.0189854 0.46 
151 5.58561 3.02501 0.643686 -0.00616096 0.46 
152 21.1975 7.90451 0.75391 -0.00501652 0.46 
153 21.1368 6.175 0.7616 -0.00516319 0.46 
154 3.5047 17.7906 0.710593 0.0450612 0.46 
155 27.2303 16.771 0.753041 0.0369502 0.46 
156 6.19732 6.24696 0.744515 0.0242143 0.46 
157 23.2119 4.9387 0.727809 -0.00743083 0.46 
158 17.3981 0.195228 0.0850083 -0.0117889 0.46 
159 12.5516 9.65435 0.7846 -0.00681338 0.46 
160 14.4919 8.18906 0.773766 0.00341549 0.46 
161 9.2795 21.4587 0.212088 0.00316006 0.46 
162 25.7486 10.6344 0.791868 0.00547053 0.46 
163 19.7066 5.72413 0.747382 -0.0263764 0.46 
164 16.9925 10.5729 0.799478 -0.00943643 0.46 
165 13.3419 15.3054 0.782447 -0.00135839 0.46 
166 21.3436 5.41478 0.712827 -0.0147187 0.46 
167 10.0644 14.4452 0.796815 0.0148374 0.46 
168 2.0348 4.9263 0.728505 0.0578651 0.46 
169 8.4107 3.8572 0.657011 0.0300668 0.46 
170 14.5495 1.50813 0.368716 -0.0121048 0.46 
171 15.2931 20.2943 0.409297 0.0251336 0.46 
172 27.959 20.6098 0.40643 0.00961524 0.46 
173 9.68028 16.7772 0.772631 0.00833715 0.46 
174 24.2467 9.26838 0.790184 0.00298772 0.46 
175 6.44352 1.7767 0.43267 0.005456 0.46 
176 22.6014 10.7797 0.794884 0.000475389 0.46 
177 5.81327 16.2387 0.758045 0.0278418 0.46 
178 27.7724 8.3259 0.792603 0.0179443 0.46 
179 20.6015 5.86853 0.748904 -0.0334539 0.46 
180 26.5923 11.4745 0.792081 0.00514767 0.46 
181 3.06551 2.81159 0.597327 0.0148313 0.46 
182 6.01553 9.72153 0.781691 0.020913 0.46 
183 15.2326 12.3946 0.788895 -0.0141405 0.46 
184 10.9107 18.7866 0.637631 0.0334791 0.46 
185 22.3884 20.2548 0.443234 -0.0333128 0.46 
186 5.29874 12.2582 0.789045 0.0240376 0.46 
187 4.5296 5.23894 0.72896 0.0157566 0.46 
188 6.84602 10.1092 0.791587 0.0250568 0.46 
189 23.2663 5.34549 0.756849 -0.00579654 0.46 
190 8.93062 14.7866 0.792694 0.00771663 0.46 
191 1.29416 15.8895 0.760287 0.0281082 0.46 
192 22.9738 1.76078 0.42771 -0.022094 0.46 
193 26.4596 17.088 0.741817 0.0215946 0.46 
194 20.8263 5.56475 0.742391 -0.0365081 0.46 
195 2.83608 4.22946 0.69291 0.0272795 0.46 
196 22.4238 17.9908 0.660993 0.00442784 0.46 
197 27.6951 13.0191 0.796532 0.00760919 0.46 
198 3.73591 6.07756 0.74567 0.0223897 0.46 
199 12.0239 18.9499 0.63925 0.0144109 0.46 
200 27.4581 18.0089 0.689849 0.0620139 0.46 
201 9.53237 0.866669 0.289417 -0.06711 0.46 
202 5.98531 1.79117 0.43416 0.0102841 0.46 
203 19.0375 5.18122 0.731911 -0.0275951 0.46 
204 24.7359 15.1816 0.771178 0.00297836 0.46 
205 6.8836 6.02005 0.748663 0.037371 0.46 
206 1.75838 4.46061 0.728939 0.0492092 0.46 
207 7.60144 10.3655 0.789159 0.0246582 0.46 
208 23.2725 9.87717 0.793312 -4.82278e-05 0.46 
209 20.0339 0.57459 0.222499 -0.00686315 0.46 
210 7.04837 18.2457 0.682365 -0.0222257 0.46 
211 2.00952 11.8005 0.796695 0.0271992 0.46 
212 16.5031 21.4392 0.175112 -0.0256865 0.46 
213 11.6352 19.3061 0.586206 0.00639823 0.46 
214 7.50704 21.8253 0.0932387 0.0163528 0.46 
215 25.9097 19.8408 0.456997 -0.000835043 0.46 
216 18.3055 11.6636 0.792537 -0.0237166 0.46 
217 16.4998 20.2174 0.424256 0.00753714 0.46 
218 10.2932 0.5219 0.182915 -0.0135908 0.46 
219 15.6971 2.24613 0.502611 0.0416932 0.46 
220 23.4894 12.4559 0.794169 0.000339451 0.46 
221 8.43223 14.9985 0.788833 0.0219094 0.46 
222 22.0316 0.166897 0.102624 -0.0144981 0.46 
223 13.8838 7.66661 0.78044 -0.00669528 0.46 
224 18.3555 19.9301 0.554444 -0.0510593 0.46 
225 5.72147 13.2478 0.784644 0.0207901 0.46 
226 22.3266 15.3595 0.778952 -0.00511758 0.46 
227 6.99387 2.57203 0.581933 0.00626552 0.46 
228 8.66648 20.597 0.39918 -0.00882976 0.46 
229 4.87125 18.3239 0.660988 0.00812611 0.46 
230 10.1403 16.6857 0.769558 0.0145686 0.46 
231 4.01794 3.71947 0.669606 0.0128591 0.46 
232 9.81066 6.36657 0.754428 0.00403127 0.46 
233 13.8336 15.334 0.770458 -0.0173082 0.46 
234 10.2854 13.6585 0.794854 0.0125589 0.46 
235 8.78449 13.2521 0.792786 0.0231969 0.46 
236 1.51893 3.23926 0.621242 0.0443378 0.46 
237 1.29948 0.961697 0.320265 0.0207054 0.46 
238 9.57078 7.49496 0.773485 0.00643478 0.46 
239 21.9294 2.47653 0.538413 0.0355142 0.46 
240 10.3607 13.2724 0.794127 0.0114515 0.46 
241 18.6069 16.9363 0.726307 -0.00460063 0.46 
242 8.21516 14.2897 0.789718 0.0192304 0.46 
243 7.01962 10.7251 0.794383 0.0290918 0.46 
244 15.2577 11.178 0.78945 -0.0115138 0.46 
245 11.2315 6.63875 0.767086 -0.011775 0.46 
246 24.9955 20.6092 0.366323 -0.00329239 0.46 
247 6.74486 13.655 0.802037 0.0133596 0.46 
248 19.8158 15.2768 0.759255 -0.00559729 0.46 
249 7.71802 5.49076 0.724255 0.0153919 0.46 
250 18.8892 5.56525 0.749512 -0.0249601 0.46 
251 12.3519 20.3078 0.44835 0.00687726 0.46 
252 18.2493 6.30114 0.761523 -0.0164497 0.46 
253 2.57476 2.76065 0.584793 0.0301348 0.46 
254 14.8545 9.43567 0.784831 -0.00485148 0.46 
255 7.28023 2.22557 0.516518 0.0225521 0.46 
256 3.94076 6.50807 0.752943 0.0233901 0.46 
257 4.57698 7.06681 0.75937 0.0276296 0.46 
258 11.5125 10.908 0.787702 -0.00185488 0.46 
259 6.19884 21.838 0.0799954 -0.00716236 0.46 
260 9.04505 8.15247 0.780008 0.0145244 0.46 
261 21.84 3.53594 0.651786 0.0249563 0.46 
262 27.5791 10.3186 0.790334 0.0069151 0.46 
263 20.3881 9.2208 0.80275 -0.0149086 0.46 
264 12.7499 7.53361 0.771694 -0.00641219 0.46 
265 8.25304 19.8413 0.533936 -0.0035254 0.46 
266 17.3197 17.7287 0.703703 -0.00752162 0.46 
267 22.0585 0.573444 0.22318 -0.0198182 0.46 
268 4.23207 18.5132 0.639058 0.0315685 0.46 
269 19.5801 13.0492 0.790861 -0.0121888 0.46 
270 18.5456 10.9105 0.795003 -0.0223716 0.46 
271 6.84682 13.1123 0.789917 0.0309995 0.46 
272 19.9432 8.07 0.797148 -0.0160831 0.46 
273 14.22 16.3602 0.760293 -0.0155712 0.46 
274 24.044 15.4751 0.773507 0.0272981 0.46 
275 20.5476 1.37306 0.372499 -0.00389137 0.46 
276 24.4239 1.71851 0.422722 -0.0231296 0.46 
277 5.60539 18.5973 0.652645 0.0492456 0.46 
278 16.1493 14.3737 0.777561 -0.0204389 0.46 
279 20.337 10.2739 0.790495 -0.011812 0.46 
280 6.02346 9.00146 0.786619 0.0175038 0.46 
281 14.1639 1.41073 0.365745 -0.042723 0.46 
282 6.91312 15.8009 0.763648 0.0119496 0.46 
283 18.6862 21.0457 0.225508 -0.0410278 0.46 
284 4.80579 19.9671 0.509907 0.0133002 0.46 
285 15.7091 17.9003 0.719979 -0.00518606 0.46 
286 25.3755 10.8734 0.790349 0.00438443 0.46 
287 8.91482 11.5393 0.79277 0.0174551 0.46 
288 19.7388 6.46759 0.762783 -0.0256568 0.46 
289 12.8581 1.27401 0.327273 0.0011672 0.46 
290 4.96336 5.26796 0.729967 0.0127948 0.46 
291 16.2392 5.00606 0.702031 0.0209936 0.46 
292 0.170865 6.9804 0.765189 0.0147619 0.46 
293 7.49464 13.3368 0.81236 0.01387 0.46 
294 5.43713 8.44414 0.784726 0.0177811 0.46 
295 1.11704 3.22496 0.60635 0.00967989 0.46 
296 21.7487 15.7892 0.755985 -0.000807186 0.46 
297 14.34 18.2532 0.676946 0.00770834 0.46 
298 13.5463 0.17353 0.0877761 -0.0199817 0.46 
299 12.8069 14.2112 0.779509 -0.00966964 0.46 
300 17.6388 8.06997 0.784595 -0.00995165 0.46 
301 5.8639 7.36368 0.759544 0.011468 0.46 
302 25.478 5.71182 0.753497 -0.00614941 0.46 
303 18.2903 7.17255 0.769797 -0.0177535 0.46 
304 22.8495 0.546339 0.20705 0.0134803 0.46 
305 6.19704 11.6566 0.795369 0.0308322 0.46 
306 1.45429 6.77886 0.768164 0.0289335 0.46 
307 26.1364 14.0192 0.803584 -0.0103644 0.46 
308 7.79569 8.34655 0.78209 0.0198639 0.46 
309 15.7234 14.635 0.774629 -0.019829 0.46 
310 17.635 11.9783 0.795468 -0.014545 0.46 
311 6.45861 7.07611 0.758079 0.0275495 0.46 
312 10.4636 18.4338 0.697998 0.0123871 0.46 
313 8.20101 8.26548 0.781119 0.0181629 0.46 
314 21.1679 4.50873 0.704905 -0.0155902 0.46 
315 18.6711 9.31143 0.797728 -0.023671 0.46 
316 27.0808 3.79857 0.712096 -0.00342702 0.46 
317 21.6465 13.0748 0.789798 -0.00894891 0.46 
318 7.87512 14.028 0.790136 0.0191239 0.46 
319 21.3621 1.25167 0.351771 -1.22927e-05 0.46 
320 8.92703 17.4902 0.722084 0.0329637 0.46 
321 16.5304 2.1623 0.470685 0.0227311 0.46 
322 18.2983 12.8098 0.791248 -0.0195624 0.46 
323 2.65269 0.152371 0.0907614 -0.00123628 0.46 
324 11.4557 21.4434 0.116021 -0.0621613 0.46 
325 2.16963 15.7423 0.763061 0.035407 0.46 
326 13.3194 18.684 0.662516 -0.00975298 0.46 
