mean_global_dens	mean_local_dens	std_local_dens	mean_local_flowx	std_local_flowx	mean_local_vx	std_local_vx
0.5	0.536	0.292	0.578	0.26	1.0	0.0
0.75	0.707	0.292	0.707	0.292	1.0	0.0
1.0	1.039	0.261	1.039	0.261	1.0	0.0
1.25	1.256	0.248	1.256	0.248	1.0	0.001
1.5	1.528	0.286	1.53	0.286	1.001	0.004
1.75	1.752	0.305	1.751	0.305	1.0	0.001
2.0	2.073	0.231	2.074	0.231	1.0	0.002
2.25	2.282	0.195	2.286	0.195	1.002	0.004
2.5	2.508	0.25	2.51	0.251	1.001	0.003
2.75	2.75	0.29	2.751	0.291	1.0	0.002
3.0	3.009	0.368	3.012	0.368	1.001	0.001
3.25	3.257	0.326	3.257	0.326	1.0	0.001
3.5	3.596	0.26	3.599	0.26	1.001	0.002
3.75	3.67	0.282	3.668	0.283	1.0	0.006
4.0	3.957	0.202	3.954	0.201	0.999	0.004
4.25	4.219	0.295	4.22	0.295	1.0	0.001
4.5	4.525	0.346	4.453	0.344	0.984	0.012
4.75	4.766	0.354	4.461	0.345	0.936	0.019
5.0	5.132	0.353	3.969	0.328	0.773	0.034
5.25	5.399	0.31	3.338	0.263	0.618	0.034
5.5	5.591	0.319	2.527	0.222	0.452	0.032
5.75	5.825	0.287	2.093	0.151	0.36	0.02
6.0	5.992	0.311	1.718	0.102	0.287	0.011
6.25	6.224	0.322	1.449	0.114	0.233	0.012
6.5	6.488	0.317	1.34	0.101	0.206	0.01
6.75	6.739	0.372	1.208	0.091	0.179	0.01
7.0	7.029	0.373	1.185	0.117	0.169	0.016
7.25	7.238	0.377	1.221	0.098	0.169	0.009
7.5	7.529	0.333	1.24	0.089	0.165	0.009
7.75	7.675	0.394	1.334	0.099	0.174	0.009
8.0	7.951	0.396	1.375	0.078	0.173	0.006
8.25	8.185	0.38	1.471	0.083	0.18	0.005
8.5	8.385	0.351	1.629	0.098	0.194	0.008
9.0	8.925	0.334	1.922	0.101	0.215	0.008
