dens	list_mean_degree	list_std_degree
4.0	0.001	0.023
4.25	0.001	0.037
4.5	0.069	0.301
4.75	0.277	0.687
5.0	0.934	1.211
5.25	3.313	1.101
5.5	4.723	1.149
5.75	5.069	1.035
6.0	5.355	0.923
6.25	5.538	0.818
6.5	5.548	0.762
6.75	5.678	0.687
7.0	5.714	0.664
7.25	5.704	0.665
7.5	5.744	0.643
7.75	5.775	0.636
8.0	5.793	0.615
8.25	5.808	0.603
8.5	5.814	0.605
8.75	5.828	0.59
9.0	5.849	0.583
