dens	list_mean_degree	list_std_degree
4.0	0.0	0.0
4.25	0.002	0.055
4.5	0.129	0.442
4.75	0.369	0.797
5.0	1.337	1.257
5.25	2.583	1.143
5.5	3.675	0.927
5.75	4.335	1.031
6.0	4.619	0.982
6.25	4.866	0.946
6.5	5.014	0.907
6.75	5.195	0.884
7.0	5.266	0.86
7.25	5.357	0.819
7.5	5.438	0.782
7.75	5.501	0.75
8.0	5.557	0.725
8.25	5.618	0.695
8.5	5.669	0.669
8.75	5.712	0.648
9.0	5.765	0.62
