dens	list_mean_degree	list_std_degree
4.0	0.0	0.0
4.25	0.026	0.21
4.5	0.121	0.442
4.75	0.557	0.914
5.0	1.39	1.197
5.25	2.419	1.073
5.5	3.355	0.924
5.75	3.94	0.973
6.0	4.359	1.004
6.25	4.609	0.94
6.5	4.823	0.9
6.75	4.999	0.884
7.0	5.147	0.871
7.25	5.257	0.819
7.5	5.334	0.8
7.75	5.432	0.769
8.0	5.488	0.744
8.25	5.569	0.71
8.5	5.623	0.687
8.75	5.685	0.658
9.0	5.748	0.622
