bin y	mean vx	std vx
0.5	0.171	0.011
1.5	0.257	0.03
2.5	0.286	0.029
3.5	0.298	0.03
4.5	0.308	0.029
5.5	0.315	0.031
6.5	0.319	0.031
7.5	0.321	0.031
8.5	0.322	0.031
9.5	0.323	0.031
10.5	0.323	0.03
11.5	0.323	0.031
12.5	0.321	0.03
13.5	0.319	0.03
14.5	0.315	0.029
15.5	0.309	0.03
16.5	0.305	0.029
17.5	0.298	0.025
18.5	0.291	0.022
19.5	0.283	0.019
20.5	0.263	0.014
21.5	0.192	0.013
