bin y	mean vx	std vx
0.5	0.155	0.006
1.5	0.349	0.013
2.5	0.475	0.015
3.5	0.559	0.015
4.5	0.617	0.016
5.5	0.648	0.014
6.5	0.658	0.01
7.5	0.667	0.008
8.5	0.672	0.006
9.5	0.674	0.005
10.5	0.676	0.005
11.5	0.676	0.006
12.5	0.675	0.006
13.5	0.673	0.007
14.5	0.669	0.008
15.5	0.663	0.011
16.5	0.654	0.015
17.5	0.627	0.019
18.5	0.566	0.02
19.5	0.476	0.016
20.5	0.35	0.017
21.5	0.155	0.009
