bin y	mean vx	std vx
0.5	0.182	0.007
1.5	0.389	0.012
2.5	0.527	0.022
3.5	0.629	0.029
4.5	0.698	0.026
5.5	0.744	0.023
6.5	0.768	0.021
7.5	0.782	0.016
8.5	0.787	0.011
9.5	0.79	0.01
10.5	0.79	0.011
11.5	0.79	0.012
12.5	0.789	0.013
13.5	0.786	0.015
14.5	0.781	0.018
15.5	0.769	0.02
16.5	0.746	0.02
17.5	0.709	0.021
18.5	0.645	0.019
19.5	0.547	0.019
20.5	0.404	0.016
21.5	0.187	0.005
