bin y	mean vx	std vx
0.5	0.13	0.004
1.5	0.3	0.006
2.5	0.432	0.01
3.5	0.531	0.014
4.5	0.6	0.016
5.5	0.64	0.017
6.5	0.66	0.016
7.5	0.669	0.012
8.5	0.674	0.011
9.5	0.675	0.01
10.5	0.676	0.01
11.5	0.677	0.01
12.5	0.675	0.01
13.5	0.673	0.011
14.5	0.667	0.013
15.5	0.653	0.017
16.5	0.631	0.016
17.5	0.587	0.016
18.5	0.523	0.014
19.5	0.431	0.011
20.5	0.305	0.007
21.5	0.132	0.004
