bin y	mean vx	std vx
0.5	0.202	0.009
1.5	0.411	0.011
2.5	0.53	0.012
3.5	0.615	0.013
4.5	0.68	0.012
5.5	0.717	0.008
6.5	0.735	0.004
7.5	0.747	0.002
8.5	0.753	0.003
9.5	0.754	0.004
10.5	0.756	0.004
11.5	0.757	0.005
12.5	0.757	0.006
13.5	0.754	0.007
14.5	0.742	0.009
15.5	0.729	0.011
16.5	0.716	0.012
17.5	0.676	0.012
18.5	0.621	0.014
19.5	0.533	0.009
20.5	0.405	0.009
21.5	0.196	0.008
