bin y	mean vx	std vx
0.5	0.272	0.015
1.5	0.426	0.038
2.5	0.468	0.04
3.5	0.472	0.037
4.5	0.478	0.036
5.5	0.484	0.034
6.5	0.489	0.031
7.5	0.494	0.028
8.5	0.499	0.026
9.5	0.502	0.025
10.5	0.503	0.025
11.5	0.504	0.025
12.5	0.504	0.025
13.5	0.505	0.026
14.5	0.505	0.027
15.5	0.503	0.027
16.5	0.498	0.029
17.5	0.49	0.034
18.5	0.483	0.04
19.5	0.465	0.042
20.5	0.382	0.038
21.5	0.231	0.02
