bin y	mean vx	std vx
0.5	0.296	0.001
1.5	0.296	0.001
2.5	0.296	0.001
3.5	0.296	0.001
4.5	0.296	0.002
5.5	0.295	0.002
6.5	0.295	0.002
7.5	0.295	0.003
8.5	0.295	0.003
9.5	0.295	0.004
10.5	0.295	0.004
11.5	0.294	0.005
12.5	0.295	0.003
13.5	0.296	0.003
14.5	0.295	0.003
15.5	0.296	0.003
16.5	0.296	0.001
17.5	0.297	0.002
18.5	0.297	0.002
19.5	0.296	0.002
20.5	0.296	0.002
21.5	0.296	0.002
