bin y	mean vx	std vx
0.5	0.135	0.014
1.5	0.255	0.019
2.5	0.325	0.019
3.5	0.36	0.021
4.5	0.372	0.017
5.5	0.379	0.013
6.5	0.385	0.012
7.5	0.388	0.012
8.5	0.391	0.012
9.5	0.392	0.011
10.5	0.392	0.011
11.5	0.391	0.011
12.5	0.391	0.011
13.5	0.39	0.012
14.5	0.389	0.012
15.5	0.385	0.014
16.5	0.38	0.017
17.5	0.375	0.018
18.5	0.361	0.022
19.5	0.329	0.026
20.5	0.27	0.021
21.5	0.154	0.011
