bin y	mean vx	std vx
0.5	0.137	0.003
1.5	0.303	0.008
2.5	0.42	0.008
3.5	0.501	0.013
4.5	0.548	0.013
5.5	0.58	0.014
6.5	0.605	0.01
7.5	0.619	0.009
8.5	0.623	0.008
9.5	0.624	0.008
10.5	0.625	0.007
11.5	0.625	0.007
12.5	0.624	0.008
13.5	0.619	0.008
14.5	0.612	0.009
15.5	0.595	0.01
16.5	0.581	0.01
17.5	0.549	0.009
18.5	0.496	0.009
19.5	0.426	0.009
20.5	0.317	0.01
21.5	0.143	0.004
