bin y	mean vx	std vx
0.5	0.169	0.001
1.5	0.169	0.001
2.5	0.169	0.001
3.5	0.169	0.001
4.5	0.17	0.002
5.5	0.17	0.002
6.5	0.17	0.002
7.5	0.17	0.002
8.5	0.17	0.002
9.5	0.17	0.002
10.5	0.17	0.002
11.5	0.17	0.002
12.5	0.17	0.002
13.5	0.169	0.003
14.5	0.169	0.003
15.5	0.169	0.003
16.5	0.169	0.002
17.5	0.168	0.001
18.5	0.168	0.001
19.5	0.168	0.001
20.5	0.168	0.001
21.5	0.168	0.001
