0.density	2.fraction nodes in giant	3.sizes componentes	4.cantidad nodos x size	5.average shortest path length	6.diameter	7.mean degree	8.std degree	9.triangles per node
4.0	0.0	[1]	[2461]	0.0	0	0.0	0.0	0.0
4.25	0.002	[1, 2, 4]	[2602, 4, 1]	1.5	2	2.5	0.866	0.0
4.5	0.023	[1, 2, 3, 35, 65, 6, 7, 4, 15]	[2562, 25, 5, 1, 1, 1, 2, 1, 1]	22.0	64	1.985	0.086	0.0
4.75	0.041	[1, 2, 3, 4, 5, 6, 7, 8, 10, 48, 16, 18, 87, 121, 95]	[2203, 19, 20, 14, 11, 9, 6, 2, 1, 1, 1, 1, 1, 1, 1]	16.273	45	2.279	0.483	0.0
5.0	0.241	[1, 2, 3, 740, 4, 5, 7, 6, 8, 10, 9, 12, 11, 686, 14, 15, 16, 24, 29]	[1167, 43, 18, 1, 8, 7, 2, 4, 4, 3, 4, 1, 1, 1, 1, 2, 1, 1, 1]	34.571	93	2.462	0.57	0.0
5.25	0.861	[1, 2, 3, 4, 5, 6, 8, 13, 15, 2777, 29]	[304, 10, 4, 6, 1, 3, 1, 1, 1, 1, 1]	46.592	116	2.793	0.703	0.009
5.5	0.996	[1, 3367]	[12, 1]	35.452	100	3.544	0.571	0.069
5.75	1.0	[1, 3533]	[1, 1]	34.699	96	4.12	0.638	0.309
6.0	1.0	[3688, 1]	[1, 1]	34.452	98	4.546	0.758	0.639
6.25	1.0	[3841]	[1]	34.645	98	4.791	0.716	0.837
6.5	1.0	[3994]	[1]	34.945	97	4.965	0.689	0.992
6.75	1.0	[4144]	[1]	35.309	101	5.136	0.696	1.162
7.0	1.0	[4297]	[1]	35.588	100	5.251	0.674	1.272
7.25	1.0	[4450]	[1]	35.849	99	5.374	0.623	1.393
7.5	1.0	[4600]	[1]	36.356	102	5.406	0.594	1.422
7.75	1.0	[4751]	[1]	36.594	102	5.55	0.513	1.565
8.0	1.0	[4899]	[1]	37.158	102	5.503	0.509	1.515
9.0	1.0	[5520]	[1]	38.706	105	5.795	0.368	1.812
