0.density	2.fraction nodes in giant	3.sizes componentes	4.cantidad nodos x size	5.average shortest path length	6.diameter	7.mean degree	8.std degree	9.triangles per node
4.0	0.0	[1]	[2462]	0.0	0	0.0	0.0	0.0
4.25	0.0	[1]	[2614]	0.0	0	0.0	0.0	0.0
4.5	0.002	[1, 2, 3, 5, 6]	[2616, 40, 18, 2, 1]	2.333	5	1.833	0.236	0.0
4.75	0.023	[1, 2, 3, 4, 67, 6, 5, 7, 9, 8, 11, 15, 20, 22, 23, 28, 29]	[2335, 25, 19, 16, 1, 14, 11, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1]	10.598	28	2.367	0.508	0.0
5.0	0.205	[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 16, 18, 24, 34, 38, 40, 41, 43, 63, 81, 234, 629, 117]	[1297, 50, 23, 5, 5, 4, 2, 4, 3, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	33.588	84	2.5	0.641	0.01
5.25	0.99	[1, 2, 3189]	[29, 2, 1]	35.398	97	3.369	0.697	0.196
5.5	0.998	[1, 3371]	[6, 1]	32.309	88	4.832	0.863	2.805
5.75	1.0	[3530]	[1]	32.338	87	5.143	0.789	3.634
6.0	1.0	[3684]	[1]	32.758	92	5.349	0.698	4.173
6.25	1.0	[3839]	[1]	33.087	88	5.547	0.545	4.743
6.5	1.0	[3991]	[1]	33.503	90	5.602	0.501	4.897
6.75	1.0	[4143]	[1]	33.841	92	5.681	0.455	5.137
7.0	1.0	[4291]	[1]	34.35	93	5.67	0.464	5.081
7.25	1.0	[4444]	[1]	34.816	95	5.708	0.437	5.187
7.5	1.0	[4591]	[1]	35.176	95	5.776	0.395	5.386
7.75	1.0	[4743]	[1]	35.607	96	5.798	0.421	5.448
8.0	1.0	[4883]	[1]	35.995	96	5.791	0.404	5.413
9.0	1.0	[5488]	[1]	38.024	102	5.882	0.323	5.671
