0.Global dens	1.fraction nodes in giant	2.average shortest path length	3.diameter	4.mean degree	5.std degree	6.triangles per node	7.std triangles per node
4.0	0.001	0.643	0.643	0.643	0.0	0.0	0.0
4.25	0.001	1.0	1.0	1.0	0.0	0.0	0.0
4.5	0.002	2.214	4.643	1.821	0.239	0.0	0.0
4.75	0.013	7.461	19.357	2.41	0.585	0.0	0.0
5.0	0.159	27.925	77.857	2.682	0.723	0.012	0.01
5.25	0.986	34.298	93.643	3.558	0.711	0.322	0.089
5.5	0.999	32.339	87.5	4.831	0.895	2.799	0.152
5.75	1.0	32.487	90.286	5.145	0.808	3.598	0.114
6.0	1.0	32.76	90.429	5.418	0.697	4.383	0.113
6.25	1.0	33.111	89.929	5.593	0.576	4.885	0.127
6.5	1.0	33.639	91.643	5.598	0.521	4.891	0.037
6.75	1.0	34.107	92.714	5.72	0.449	5.25	0.139
7.0	1.0	34.455	94.429	5.753	0.435	5.342	0.09
7.25	1.0	35.01	95.357	5.744	0.432	5.301	0.045
7.5	1.0	35.488	96.929	5.783	0.405	5.412	0.042
7.75	1.0	35.937	97.714	5.816	0.393	5.504	0.039
8.0	1.0	36.388	98.429	5.832	0.372	5.55	0.04
8.25	1.0	36.94	100.071	5.846	0.362	5.592	0.025
8.5	1.0	37.257	100.5	5.855	0.349	5.608	0.028
8.75	1.0	37.833	102.643	5.868	0.333	5.649	0.018
9.0	1.0	38.344	103.714	5.891	0.313	5.712	0.019
