0.density	2.fraction nodes in giant	3.sizes componentes	4.cantidad nodos x size	5.average shortest path length	6.diameter	7.mean degree	8.std degree	9.triangles per node
4.0	0.0	[1]	[2462]	0.0	0	0.0	0.0	0.0
4.25	0.0	[1]	[2613]	0.0	0	0.0	0.0	0.0
4.5	0.002	[1, 2, 3, 4, 5]	[2622, 36, 21, 1, 1]	2.0	4	1.8	0.245	0.0
4.75	0.01	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 21, 22, 28]	[2482, 21, 8, 11, 5, 11, 5, 7, 2, 2, 1, 1, 1, 1, 1, 1]	7.05	18	2.19	0.42	0.0
5.0	0.189	[1, 2, 3, 4, 581, 5, 7, 8, 33, 10, 6, 9, 46, 15, 84, 20, 124, 29, 31]	[1839, 46, 14, 7, 1, 3, 1, 2, 1, 3, 2, 3, 1, 1, 1, 1, 1, 1, 1]	26.332	78	2.719	0.705	0.002
5.25	0.99	[1, 3190]	[32, 1]	36.345	103	3.343	0.712	0.039
5.5	0.999	[1, 3372]	[5, 1]	32.389	88	4.82	0.917	0.926
5.75	1.0	[3529, 1]	[1, 1]	32.26	90	5.25	0.803	1.313
6.0	1.0	[3684]	[1]	32.813	91	5.426	0.733	1.467
6.25	1.0	[3839]	[1]	33.019	89	5.676	0.569	1.717
6.5	1.0	[3991]	[1]	33.691	94	5.622	0.581	1.659
6.75	1.0	[4143]	[1]	34.049	92	5.718	0.536	1.753
7.0	1.0	[4291]	[1]	34.482	95	5.744	0.448	1.773
7.25	1.0	[4444]	[1]	34.961	94	5.76	0.48	1.786
7.5	1.0	[4591]	[1]	35.644	97	5.783	0.437	1.808
7.75	1.0	[4743]	[1]	35.766	96	5.82	0.432	1.843
8.0	1.0	[4883]	[1]	36.239	100	5.82	0.412	1.841
9.0	1.0	[5488]	[1]	38.501	106	5.889	0.317	1.907
