0.Global dens	1.fraction nodes in giant	2.average shortest path length	3.diameter	4.mean degree	5.std degree	6.triangles per node	7.std triangles per node
4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.25	0.002	1.929	3.786	1.743	0.227	0.0	0.0
4.5	0.001	1.643	2.929	1.744	0.266	0.0	0.0
4.75	0.004	3.111	7.0	2.275	0.498	0.0	0.0
5.0	0.063	19.662	55.5	2.597	0.752	0.0	0.0
5.25	0.922	36.844	98.143	3.107	0.794	0.106	0.052
5.5	0.999	31.534	85.071	5.495	0.61	4.672	0.009
5.75	1.0	31.914	85.5	5.659	0.446	5.141	0.005
6.0	1.0	32.459	86.929	5.732	0.393	5.334	0.016
6.25	1.0	32.867	88.571	5.767	0.343	5.436	0.003
6.5	1.0	33.612	91.714	5.818	0.312	5.572	0.018
6.75	1.0	33.794	90.143	5.842	0.296	5.623	0.01
7.0	1.0	34.224	91.143	5.871	0.298	5.693	0.007
7.25	1.0	34.694	92.929	5.904	0.299	5.771	0.003
7.5	1.0	34.843	94.0	5.931	0.304	5.82	0.002
7.75	1.0	35.322	93.714	5.935	0.304	5.829	0.001
8.0	1.0	35.789	95.571	5.943	0.307	5.834	0.002
8.25	1.0	36.33	96.071	5.942	0.305	5.835	0.001
8.5	1.0	36.944	98.786	5.941	0.302	5.837	0.001
8.75	1.0	37.75	101.786	5.931	0.29	5.839	0.002
9.0	1.0	38.516	102.786	6.009	0.384	6.081	0.054
