0.Global dens	1.fraction nodes in giant	2.average shortest path length	3.diameter	4.mean degree	5.std degree	6.triangles per node	7.std triangles per node
4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.25	0.001	1.262	1.786	1.315	0.123	0.0	0.0
4.5	0.013	9.776	26.429	2.07	0.284	0.0	0.0
4.75	0.051	19.087	52.643	2.308	0.509	0.003	0.008
5.0	0.269	38.63	109.0	2.593	0.628	0.007	0.007
5.25	0.933	39.509	103.714	2.995	0.692	0.034	0.013
5.5	0.998	34.636	96.429	3.852	0.561	0.485	0.047
5.75	1.0	33.903	95.5	4.455	0.758	1.726	0.149
6.0	1.0	34.1	96.214	4.712	0.742	2.331	0.11
6.25	1.0	34.2	96.571	4.939	0.729	2.937	0.089
6.5	1.0	34.6	96.714	5.078	0.691	3.32	0.111
6.75	1.0	34.91	97.214	5.251	0.673	3.822	0.142
7.0	1.0	35.191	98.143	5.319	0.647	4.025	0.163
7.25	1.0	35.694	98.786	5.408	0.599	4.282	0.081
7.5	1.0	36.115	99.929	5.489	0.55	4.512	0.061
7.75	1.0	36.49	100.429	5.55	0.514	4.693	0.086
8.0	1.0	36.819	101.071	5.605	0.479	4.854	0.088
8.25	1.0	37.248	101.5	5.665	0.442	5.031	0.069
8.5	1.0	37.732	103.071	5.715	0.411	5.178	0.05
8.75	1.0	38.072	103.429	5.758	0.379	5.303	0.036
9.0	1.0	38.563	104.571	5.808	0.354	5.459	0.038
