dens	list_mean_overlap	list_std_overlap
4.0	0.0	0.0
4.25	0.0	0.0
4.5	0.001	0.001
4.75	0.003	0.003
5.0	0.003	0.003
5.25	0.006	0.005
5.5	0.01	0.008
5.75	0.018	0.011
6.0	0.025	0.013
6.25	0.032	0.016
6.5	0.04	0.019
6.75	0.047	0.02
7.0	0.053	0.022
7.25	0.06	0.023
7.5	0.066	0.025
7.75	0.072	0.026
8.0	0.077	0.027
8.25	0.083	0.028
8.5	0.088	0.029
8.75	0.092	0.03
9.0	0.097	0.03
