dens	list_mean_overlap	list_std_overlap
4.0		
4.25	0.007	0.004
4.5	0.017	0.015
4.75	0.021	0.02
5.0	0.019	0.018
5.25	0.02	0.017
5.5	0.024	0.017
5.75	0.03	0.019
6.0	0.036	0.019
6.25	0.042	0.02
6.5	0.048	0.022
6.75	0.054	0.022
7.0	0.059	0.023
7.25	0.065	0.024
7.5	0.071	0.025
7.75	0.076	0.026
8.0	0.081	0.027
8.25	0.085	0.028
8.5	0.09	0.029
8.75	0.094	0.03
9.0	0.098	0.03
