dens	list_mean_overlap	list_std_overlap
4.0		
4.25	0.0	0.0
4.5	0.0	0.0
4.75	0.0	0.0
5.0	0.0	0.0
5.25	0.001	0.001
5.5	0.007	0.004
5.75	0.015	0.007
6.0	0.024	0.009
6.25	0.032	0.011
6.5	0.039	0.012
6.75	0.046	0.014
7.0	0.053	0.017
7.25	0.059	0.018
7.5	0.065	0.023
7.75	0.071	0.023
8.0	0.077	0.026
8.25	0.082	0.025
8.5	0.088	0.025
8.75	0.093	0.022
9.0	0.096	0.027
